"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"10","XLOC_000010","XLOC_000010","Rb1cc1","chr1:6196277-6266729","P0","Ad","OK",12.0198,32.5097,1.43546,1.57738,0.0045,0.0356868,"yes"
"13","XLOC_000013","XLOC_000013","Pcmtd1","chr1:7079000-7163707","P0","Ad","OK",13.9748,30.6601,1.13354,2.03317,0.0051,0.0388861,"yes"
"99","XLOC_000099","XLOC_000099","Dst","chr1:33965124-34365495","P0","Ad","OK",18.9123,55.2145,1.54572,2.11676,1e-04,0.00193782,"yes"
"106","XLOC_000106","XLOC_000106","Plekhb2","chr1:34906803-34936425","P0","Ad","OK",22.5679,73.5683,1.70481,3.34955,5e-05,0.00106929,"yes"
"127","XLOC_000127","XLOC_000127","Mrpl30","chr1:37947321-37955380","P0","Ad","OK",46.4547,133.038,1.51794,2.95512,5e-05,0.00106929,"yes"
"152","XLOC_000152","XLOC_000152","Tmem182","chr1:40862445-40912789","P0","Ad","OK",39.0197,110.933,1.50741,3.02672,1e-04,0.00193782,"yes"
"196","XLOC_000196","XLOC_000196","Osgepl1","chr1:53370467-53409596","P0","Ad","OK",11.7573,43.5042,1.8876,1.98303,0.0076,0.0503239,"no"
"199","XLOC_000199","XLOC_000199","Coq10b","chr1:55109613-55129545","P0","Ad","OK",11.0583,53.3,2.26901,3.72759,5e-05,0.00106929,"yes"
"214","XLOC_000214","XLOC_000214","Aox1","chr1:58086774-58163257","P0","Ad","OK",1.18858,7.09136,2.57682,3.63373,5e-05,0.00106929,"yes"
"221","XLOC_000221","XLOC_000221","Ndufb3","chr1:58643227-58652808","P0","Ad","OK",100.609,265.235,1.39851,2.86709,5e-05,0.00106929,"yes"
"225","XLOC_000225","XLOC_000225","Stradb","chr1:59030365-59052559","P0","Ad","OK",12.8474,42.0299,1.70994,2.55772,6e-04,0.00810028,"yes"
"237","XLOC_000237","XLOC_000237","Fam117b","chr1:59969849-60042190","P0","Ad","OK",5.12673,10.9833,1.09921,1.81778,0.00725,0.0488697,"yes"
"337","XLOC_000337","XLOC_000337","Bcs1l","chr1:74634862-74639017","P0","Ad","OK",8.70255,25.1366,1.53028,2.46461,0.00125,0.0139747,"yes"
"340","XLOC_000340","XLOC_000340","Cyp27a1","chr1:74760147-74784464","P0","Ad","OK",3.48686,10.2948,1.56192,2.26247,0.0042,0.0339697,"yes"
"350","XLOC_000350","XLOC_000350","Dnajb2","chr1:75233039-75241379","P0","Ad","OK",20.354,44.8161,1.1387,2.09601,0.0035,0.0299043,"yes"
"351","XLOC_000351","XLOC_000351","Des","chr1:75356903-75371587","P0","Ad","OK",288.635,744.748,1.36751,2.36019,0.00045,0.00654015,"yes"
"398","XLOC_000398","XLOC_000398","Sp100","chr1:87496952-87606573","P0","Ad","OK",2.13489,100.869,5.56218,2.92214,5e-05,0.00106929,"yes"
"437","XLOC_000437","XLOC_000437","Ugt1a1,Ugt1a10,Ugt1a2,Ugt1a5,Ugt1a6a,Ugt1a6b,Ugt1a7c,Ugt1a8,Ugt1a9","chr1:89951962-90116577","P0","Ad","OK",0.626727,3.07799,2.29608,1.17964,6e-04,0.00810028,"yes"
"454","XLOC_000454","XLOC_000454","Cxcr7","chr1:92100554-92113326","P0","Ad","OK",4.95844,32.2753,2.70247,4.62806,5e-05,0.00106929,"yes"
"464","XLOC_000464","XLOC_000464","Scly","chr1:93193779-93217678","P0","Ad","OK",4.52598,10.2675,1.18179,1.71762,0.00395,0.0326333,"yes"
"477","XLOC_000477","XLOC_000477","Gpc1","chr1:94728221-94756775","P0","Ad","OK",51.2062,185.329,1.8557,3.76128,5e-05,0.00106929,"yes"
"504","XLOC_000504","XLOC_000504","Fam174a","chr1:97210204-97231861","P0","Ad","OK",6.34969,23.807,1.90663,2.96918,0.00025,0.00406943,"yes"
"569","XLOC_000569","XLOC_000569","Slc35f5","chr1:127457592-127492261","P0","Ad","OK",30.7524,68.6849,1.15929,2.38518,0.00075,0.00956334,"yes"
"595","XLOC_000595","XLOC_000595","5430435G22Rik","chr1:133585271-133610119","P0","Ad","OK",0.395009,2.09351,2.40597,1.33205,0.00465,0.0365507,"yes"
"599","XLOC_000599","XLOC_000599","Slc41a1","chr1:133724069-133745442","P0","Ad","OK",5.9873,20.4106,1.76934,3.35998,5e-05,0.00106929,"yes"
"609","XLOC_000609","XLOC_000609","Klhdc8a","chr1:134195202-134203934","P0","Ad","OK",0.764941,8.81831,3.52708,4.49511,5e-05,0.00106929,"yes"
"618","XLOC_000618","XLOC_000618","Plekha6","chr1:135142673-135200012","P0","Ad","OK",7.71265,18.4386,1.25743,2.56596,6e-04,0.00810028,"yes"
"655","XLOC_000655","XLOC_000655","Cacna1s","chr1:137949326-138016399","P0","Ad","OK",0.22672,4.78655,4.4,2.05938,2e-04,0.00339928,"yes"
"712","XLOC_000712","XLOC_000712","Glul","chr1:155696671-155764441","P0","Ad","OK",46.9216,130.189,1.47228,2.89126,1e-04,0.00193782,"yes"
"722","XLOC_000722","XLOC_000722","Gm10031","chr1:158454361-158455283","P0","Ad","OK",17.2025,45.5861,1.40598,2.15382,0.006,0.0428576,"yes"
"736","XLOC_000736","XLOC_000736","Mrps14","chr1:162125345-162132301","P0","Ad","OK",29.1682,77.9194,1.41759,2.22404,0.00265,0.0245409,"yes"
"773","XLOC_000773","XLOC_000773","Brp44","chr1:167391167-167411345","P0","Ad","OK",146.271,602.372,2.04201,3.25981,5e-05,0.00106929,"yes"
"775","XLOC_000775","XLOC_000775","Creg1","chr1:167693876-167705439","P0","Ad","OK",14.8696,79.0971,2.41126,4.62045,5e-05,0.00106929,"yes"
"784","XLOC_000784","XLOC_000784","Tmco1","chr1:169238800-169264109","P0","Ad","OK",9.09015,21.2761,1.22686,2.42275,0.00085,0.0105458,"yes"
"787","XLOC_000787","XLOC_000787","Rxrg","chr1:169528514-169569754","P0","Ad","OK",1.33143,48.6433,5.19119,6.03216,5e-05,0.00106929,"yes"
"790","XLOC_000790","XLOC_000790","Rgs5","chr1:171585631-171625944","P0","Ad","OK",79.1108,180.447,1.18963,2.33437,0.00065,0.00858808,"yes"
