"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"83","XLOC_000083","XLOC_000083","Gm11161","chr1:27099345-27286771","P0","Ad","OK",187.246,0,-Inf,NA,0.00875,0.0548049,"no"
"84","XLOC_000084","XLOC_000084","Gm17684","chr1:28912032-28912718","P0","Ad","OK",145.018,21.5107,-2.75311,-2.84418,0.0033,0.0286597,"yes"
"136","XLOC_000136","XLOC_000136","Npas2","chr1:39250575-39420079","P0","Ad","OK",6.80815,0.594408,-3.51774,-2.06465,0.00045,0.00654015,"yes"
"163","XLOC_000163","XLOC_000163","Nck2","chr1:43502595-43627360","P0","Ad","OK",14.6759,6.76091,-1.11816,-1.97464,0.0051,0.0388861,"yes"
"172","XLOC_000172","XLOC_000172","Gulp1","chr1:44608355-44853678","P0","Ad","OK",10.1072,2.52475,-2.00117,-1.84444,0.00705,0.0479528,"yes"
"174","XLOC_000174","XLOC_000174","Col3a1","chr1:45368382-45406551","P0","Ad","OK",262.412,99.2952,-1.40204,-2.54274,0.00055,0.00757606,"yes"
"191","XLOC_000191","XLOC_000191","Tmem194b","chr1:52687548-52708763","P0","Ad","OK",3.63847,0.761135,-2.25711,-2.11031,0.0046,0.0362578,"yes"
"205","XLOC_000205","XLOC_000205","Gm8292","chr1:55305501-55420313","P0","Ad","OK",51.2234,12.4009,-2.04636,-2.81314,5e-04,0.00709313,"yes"
"211","XLOC_000211","XLOC_000211","Spats2l","chr1:57831005-58005241","P0","Ad","OK",30.6268,4.18931,-2.87001,-2.31315,0.00545,0.0405561,"yes"
"258","XLOC_000258","XLOC_000258","Pard3b","chr1:61685397-62688858","P0","Ad","OK",11.5098,3.36785,-1.77296,-2.73855,9e-04,0.0109843,"yes"
"270","XLOC_000270","XLOC_000270","Zdbf2","chr1:63319799-63361150","P0","Ad","OK",1.22474,0.172225,-2.83011,-1.51792,0.00305,0.0272017,"yes"
"366","XLOC_000366","XLOC_000366","Acsl3,Utp14b","chr1:78654399-78703562","P0","Ad","OK",20.6736,4.82009,-2.10065,-2.6596,1e-04,0.00193782,"yes"
"413","XLOC_000413","XLOC_000413","Ptma","chr1:88423310-88427273","P0","Ad","OK",233.475,120.562,-0.953498,-1.9686,0.00655,0.0456864,"yes"
"449","XLOC_000449","XLOC_000449","Sh3bp4","chr1:90966989-91051643","P0","Ad","OK",18.1494,4.27003,-2.08761,-1.86108,0.00125,0.0139747,"yes"
"459","XLOC_000459","XLOC_000459","Lrrfip1","chr1:92895303-93025521","P0","Ad","OK",118.997,24.6402,-2.27184,-4.39682,5e-05,0.00106929,"yes"
"461","XLOC_000461","XLOC_000461","Ramp1","chr1:93076398-93121773","P0","Ad","OK",13.2076,0.691287,-4.25594,-3.31263,5e-05,0.00106929,"yes"
"560","XLOC_000560","XLOC_000560","En1","chr1:122498994-122505873","P0","Ad","OK",11.7656,0.312166,-5.23612,-4.94809,5e-05,0.00106929,"yes"
"563","XLOC_000563","XLOC_000563","Gm8217","chr1:123406418-123425042","P0","Ad","OK",3.81785,0,-Inf,NA,0.00015,0.00273203,"yes"
"582","XLOC_000582","XLOC_000582","Thsd7b","chr1:131169878-132115855","P0","Ad","OK",1.59526,0.106454,-3.90549,-0.695087,0.0077,0.0507502,"no"
"615","XLOC_000615","XLOC_000615","Lrrn2","chr1:134776849-134836582","P0","Ad","OK",20.6051,1.40416,-3.87522,-3.16273,5e-05,0.00106929,"yes"
"638","XLOC_000638","XLOC_000638","Kdm5b","chr1:136456747-136529454","P0","Ad","OK",14.6334,4.37388,-1.74228,-2.72441,0.00015,0.00273203,"yes"
"649","XLOC_000649","XLOC_000649","Csrp1","chr1:137616637-137648809","P0","Ad","OK",91.9071,24.147,-1.92833,-3.79696,5e-05,0.00106929,"yes"
"650","XLOC_000650","XLOC_000650","Phlda3","chr1:137662695-137665713","P0","Ad","OK",21.9483,5.50883,-1.99429,-2.80456,5e-05,0.00106929,"yes"
"651","XLOC_000651","XLOC_000651","Tnni1","chr1:137679641-137707566","P0","Ad","OK",1440.2,1.50437,-9.9029,-9.24886,5e-05,0.00106929,"yes"
"672","XLOC_000672","XLOC_000672","Aspm","chr1:141351349-141390667","P0","Ad","OK",2.71808,0.0536307,-5.66339,-2.81921,0.00135,0.0147794,"yes"
"709","XLOC_000709","XLOC_000709","Rnasel","chr1:155596555-155611351","P0","Ad","OK",15.4286,0.932817,-4.04787,-5.51528,5e-05,0.00106929,"yes"
"805","XLOC_000805","XLOC_000805","Adamts4","chr1:173180551-173190768","P0","Ad","OK",2.37865,0.226895,-3.39004,-2.94446,0.00925,0.0571078,"no"
